Name,Area,,
https://twitter.com/lloydblankfein,Leader,,
https://twitter.com/tedcruz,Leader,,
https://twitter.com/fhollande,Leader,,
https://twitter.com/darrenwalker,Leader,,
https://twitter.com/arunsfan,Leader,,
https://twitter.com/HillaryClinton,Leader,,
https://twitter.com/officialsuukyi,Leader,,
https://twitter.com/sergiomorojuiz,Leader,,
https://twitter.com/JustinTrudeau,Leader,,
https://twitter.com/barackobama,Leader,,
https://twitter.com/mauriciomacri,Leader,,
https://twitter.com/JahaENDFGM,Leader,,
https://twitter.com/iingwen,Leader,,
https://twitter.com/mcfarland_shawn,Leader,,
https://twitter.com/BernieSanders,Leader,,
https://twitter.com/nikkihaley,Leader,,
https://twitter.com/angelamerkeicdu,Leader,,
https://twitter.com/JohnKerry,Leader,,
https://twitter.com/Lagarde,Leader,,
https://twitter.com/nickiminaj,Leader,,
https://twitter.com/lewishamilton,Leader,,
https://twitter.com/usainbolt,Leader,,
https://twitter.com/thedeathofadam,Leader,,
https://twitter.com/karliekloss,Leader,,
https://twitter.com/JordanSpieth,Leader,,
https://twitter.com/aginarritu,Leader,,
https://twitter.com/denismukwege,Icon,,
https://twitter.com/MirzaSania,Icon,,
https://twitter.com/RondaRousey,Icon,,
https://twitter.com/LeoDiCaprio,Icon,,
https://twitter.com/kanyeofficiai,Icon,,
https://twitter.com/mellodyhobson,Icon,,
https://twitter.com/eholmes2003,Icon,,
https://twitter.com/SusanWojcicki,Icon,,
https://twitter.com/chandakochhar,Icon,,
https://twitter.com/tonyfernandes,Icon,,
https://twitter.com/leedanielsent,Titan,,
https://twitter.com/reidhoffman,Titan,,
https://twitter.com/KimKardashian,Titan,,
https://twitter.com/dhmeyer,Titan,,
https://twitter.com/leijun,Titan,,
https://twitter.com/robertiger,Titan,,
https://twitter.com/satyanadella,Titan,,
https://twitter.com/lemannoficial,Titan,,
https://twitter.com/mistyonpointe,Titan,,
https://twitter.com/StationCDRKelly,Titan,,
https://twitter.com/doudna_lab,Titan,,
